Sym,LotSize,Start,End,Expiry,StopLoss15,StopLoss60
NIFTY,75,2021-01-01,2021-01-29,2021-01-28,80,135
NIFTY,75,2021-01-29,2021-02-26,2021-02-25,80,135
NIFTY,75,2021-02-26,2021-03-26,2021-03-25,80,135
NIFTY,75,2021-03-26,2021-04-30,2021-04-29,80,135
NIFTY,75,2021-04-30,2021-05-28,2021-05-27,80,135
NIFTY,75,2021-05-28,2021-06-25,2021-06-24,80,135
NIFTY,50,2021-06-25,2021-07-30,2021-07-29,120,200
NIFTY,50,2021-07-30,2021-08-27,2021-08-26,120,200
NIFTY,50,2021-08-27,2021-10-01,2021-09-30,120,200
NIFTY,50,2021-10-01,2021-10-29,2021-10-28,120,200
NIFTY,50,2021-10-29,2021-11-26,2021-11-25,120,200
NIFTY,50,2021-11-26,2021-12-31,2021-12-30,120,200